dates,rate,fluctuation,prices,positives,negatives,compounds
2017-01-20 16:00:00,0.002176924706260777,0.4300079345703125,197.9600067138672,0.0,0.0,0.0
2017-01-23 16:30:00,0.0016706415890955547,0.3300018310546875,197.86000061035156,0.122,0.042,0.9375
2017-01-20 09:30:00,0.0012672343955135695,0.25,197.52999877929688,0.457,0.0,0.9147
2017-01-23 16:30:00,0.00126563054495499,0.25,197.77999877929688,0.294,0.0,0.8666
2017-01-23 16:30:00,0.0016706415890955547,0.3300018310546875,197.86000061035156,0.178,0.158,-0.0971
2017-01-23 16:30:00,0.00126563054495499,0.25,197.77999877929688,0.252,0.131,0.9339
2017-01-23 16:00:00,-0.0004043355443642003,-0.0800018310546875,197.77999877929688,0.167,0.0,0.4939
2017-01-24 16:00:00,0.005308676310225796,1.0500030517578125,198.83999633789062,0.134,0.0,0.3382
2017-01-25 09:30:00,0.005884118841750147,1.1699981689453125,200.00999450683594,0.123,0.0,0.8011
2017-01-24 09:30:00,5.0533455848032395e-05,0.0099945068359375,197.7899932861328,0.188,0.083,0.86
2017-01-25 16:00:00,0.0020499158710559433,0.410003662109375,200.4199981689453,0.083,0.184,-0.8449
2017-01-26 09:30:00,0.0008981535586013411,0.1800079345703125,200.60000610351562,0.0,0.0,0.0
2017-01-25 09:30:00,0.005884118841750147,1.1699981689453125,200.00999450683594,0.131,0.032,0.7712
2017-01-26 16:00:00,0.000598181024608638,0.1199951171875,200.72000122070312,0.034,0.28,-0.9595
2017-01-27 09:30:00,-0.00014945585449598333,-0.029998779296875,200.69000244140625,0.176,0.0,0.8652
2017-01-27 16:00:00,-0.00029895638977465744,-0.05999755859375,200.6300048828125,0.139,0.12,-0.2663
2017-01-30 16:30:00,-0.00428521899391899,-0.8600006103515625,199.8300018310547,0.219,0.0,0.9341
2017-01-30 16:30:00,-0.006527467948864164,-1.30999755859375,199.3800048828125,0.073,0.198,-0.9267
2017-01-30 16:30:00,-0.00428521899391899,-0.8600006103515625,199.8300018310547,0.259,0.0,0.5411
2017-01-30 16:30:00,-0.006527467948864164,-1.30999755859375,199.3800048828125,0.074,0.247,-0.9331
2017-01-30 09:30:00,-0.003987454679199616,-0.8000030517578125,199.8300018310547,0.095,0.21,-0.8777
2017-01-30 16:00:00,-0.002251898834603601,-0.4499969482421875,199.3800048828125,0.088,0.184,-0.9346
2017-01-31 09:30:00,-0.003310280098033393,-0.660003662109375,198.72000122070312,0.258,0.0,0.6808
2017-01-30 09:30:00,-0.003987454679199616,-0.8000030517578125,199.8300018310547,0.0,0.0,0.0
2017-01-31 16:00:00,-0.001811597263185085,-0.3600006103515625,198.36000061035156,0.139,0.181,-0.3956
2017-01-31 09:30:00,-0.003310280098033393,-0.660003662109375,198.72000122070312,0.501,0.0,0.982
2017-02-01 16:00:00,-0.0025109224513616053,-0.5,198.6300048828125,0.132,0.285,-0.7598
2017-02-01 09:30:00,0.003881852541296848,0.7700042724609375,199.1300048828125,0.04,0.16,-0.8084
2017-02-02 16:00:00,0.0022708767658760013,0.4499969482421875,198.61000061035156,0.226,0.134,0.9411
2017-02-03 09:30:00,0.004883949537899395,0.970001220703125,199.5800018310547,0.477,0.0,0.8065
